City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
81,Hamilton,US,39.18,-84.53,66.99,90,74,7.78,broken clouds
82,Taltal,CL,-25.4,-70.48,57.69,74,21,3.09,few clouds
83,Bulaevo,KZ,54.91,70.44,22.64,91,0,8.61,clear sky
84,Nikolskoye,RU,59.7,30.79,37.4,81,75,8.95,broken clouds
85,Port Alfred,ZA,-33.59,26.89,68.45,89,99,17.76,overcast clouds
86,Hasaki,JP,35.73,140.83,63.0,77,75,8.05,shower rain
87,Itoman,JP,26.12,127.67,73.4,53,40,16.11,scattered clouds
88,Lethem,GY,3.38,-59.8,83.93,54,0,3.13,clear sky
89,Inhambane,MZ,-23.86,35.38,71.13,81,84,6.02,broken clouds
90,San Pedro De Macoris,DO,18.46,-69.3,82.99,78,20,4.7,few clouds
91,Jalu,LY,29.03,21.55,64.2,79,0,11.95,clear sky
92,Kuala Terengganu,MY,5.33,103.14,78.8,88,20,2.24,few clouds
93,Margate,GB,51.38,1.39,51.01,66,22,1.01,few clouds
94,Tandil,AR,-37.32,-59.13,56.08,95,0,5.3,clear sky
95,Albina,SR,5.5,-54.05,76.84,91,99,2.75,overcast clouds
96,Thompson,CA,55.74,-97.86,23.0,62,75,6.93,light snow
97,Fort-Shevchenko,KZ,44.51,50.26,58.53,84,95,13.29,overcast clouds
98,Carnarvon,AU,-24.87,113.63,73.4,64,0,18.34,clear sky
99,Mishan,CN,45.55,131.88,35.65,74,100,25.97,overcast clouds
100,Ponta Do Sol,PT,32.67,-17.1,66.2,63,40,5.82,scattered clouds
101,Pevek,RU,69.7,170.31,26.51,93,47,8.41,scattered clouds
102,Mar Del Plata,AR,-38.0,-57.56,59.0,100,75,5.82,broken clouds
103,Khatanga,RU,71.97,102.5,13.87,97,100,11.01,light snow
104,Ipora,BR,-16.44,-51.12,73.45,79,100,0.74,light rain
105,Mount Isa,AU,-20.73,139.5,82.4,54,90,9.17,overcast clouds
106,Avarua,CK,-21.21,-159.78,78.8,69,94,16.11,overcast clouds
107,Amparafaravola,MG,-17.58,48.22,58.21,91,13,5.03,few clouds
108,Aiquile,BO,-18.2,-65.18,66.02,68,87,2.39,overcast clouds
109,Calama,CL,-22.47,-68.93,60.8,21,0,6.93,clear sky
110,Coihaique,CL,-45.58,-72.07,51.8,71,90,5.82,light intensity shower rain
111,Babino,RU,56.23,43.62,48.2,93,40,8.95,scattered clouds
112,Kodiak,US,57.79,-152.41,46.4,93,90,19.46,moderate rain
113,Diamantino,BR,-14.41,-56.45,75.85,78,99,5.77,moderate rain
114,Lopandino,RU,52.47,34.82,47.7,95,81,6.49,broken clouds
115,Tura,IN,25.52,90.22,70.18,99,100,4.27,overcast clouds
116,Tuktoyaktuk,CA,69.45,-133.04,24.8,92,90,6.93,light snow
117,Kapaa,US,22.08,-159.32,82.0,78,90,12.75,overcast clouds
118,Tekirdag,TR,40.98,27.51,53.6,93,0,2.24,clear sky
119,Fortuna,US,40.6,-124.16,57.2,50,1,11.41,clear sky
120,Alihe,CN,50.57,123.72,34.41,79,0,4.38,clear sky
121,Novochernorechenskiy,RU,56.27,91.08,29.77,93,0,6.02,clear sky
122,Lebu,CL,-37.62,-73.65,50.85,88,100,3.98,overcast clouds
123,Ribeira Grande,PT,38.52,-28.7,66.65,79,29,21.23,scattered clouds
124,Stephenville,US,32.22,-98.2,48.99,76,90,14.99,overcast clouds
125,Qena,EG,26.16,32.72,73.4,40,0,3.36,clear sky
126,Sohbatpur,PK,28.52,68.54,64.26,25,0,3.76,clear sky
127,Lompoc,US,34.64,-120.46,64.4,72,1,9.17,clear sky
128,Trairi,BR,-3.28,-39.27,79.29,81,25,11.54,scattered clouds
129,Shubarshi,KZ,48.59,57.19,38.08,71,100,17.2,overcast clouds
130,Qaanaaq,GL,77.48,-69.36,18.43,92,94,7.49,overcast clouds
131,Tilichiki,RU,60.47,166.1,36.12,82,0,7.92,clear sky
132,Antsohihy,MG,-14.88,47.99,73.04,60,0,8.75,clear sky
133,Sept-Iles,CA,50.2,-66.38,35.01,100,90,16.11,moderate rain
134,Alakurtti,RU,66.97,30.35,25.0,93,99,3.31,overcast clouds
135,Shingu,JP,33.73,135.98,62.6,67,20,10.29,few clouds
136,Adrar,MR,20.5,-10.07,86.36,14,59,6.64,broken clouds
137,Saldanha,ZA,-33.01,17.94,60.8,82,9,3.36,clear sky
138,Te Anau,NZ,-45.42,167.72,60.37,61,100,10.83,overcast clouds
139,Kigorobya,UG,1.62,31.31,65.66,88,0,1.77,clear sky
140,Mount Gambier,AU,-37.83,140.77,57.2,47,75,21.92,broken clouds
141,Araceli,PH,10.55,119.99,79.02,88,100,9.35,heavy intensity rain
142,South Lake Tahoe,US,38.93,-119.98,62.6,29,1,8.05,clear sky
143,Srednekolymsk,RU,67.45,153.68,21.6,92,0,3.71,clear sky
144,Tashtagol,RU,52.77,87.89,32.2,96,100,2.33,overcast clouds
145,Dikson,RU,73.51,80.55,23.52,92,100,13.78,overcast clouds
146,Kysyl-Syr,RU,63.9,122.76,25.32,95,100,8.1,overcast clouds
147,Abu Samrah,SY,35.3,37.18,65.25,28,0,5.21,clear sky
148,Iquitos,PE,-3.75,-73.25,71.6,94,75,3.36,light rain
149,Jaru,BR,-10.44,-62.47,74.75,71,98,2.93,light rain
150,Belgrade,RS,44.8,20.47,50.0,93,100,2.24,mist
151,Bria,CF,6.54,21.99,70.99,92,100,1.28,overcast clouds
152,Samarai,PG,-10.62,150.67,83.21,75,70,7.81,broken clouds
153,Heishan,CN,41.69,122.11,46.76,48,0,4.81,clear sky
154,Bar Harbor,US,44.39,-68.2,54.0,93,90,10.29,overcast clouds
155,Usinsk,RU,65.99,57.53,18.36,93,73,10.74,broken clouds
156,Lagoa,PT,39.05,-27.98,66.74,81,23,24.74,few clouds
157,Port Lincoln,AU,-34.73,135.87,54.91,63,100,19.98,overcast clouds
158,Fiche,ET,9.8,38.73,45.79,62,100,1.97,overcast clouds
159,Tezu,IN,27.92,96.17,69.66,86,100,2.95,overcast clouds
160,Obo,CF,5.4,26.49,68.34,95,94,1.07,overcast clouds
161,Portland,US,45.52,-122.68,55.0,62,90,9.17,overcast clouds
162,San-Pedro,CI,4.75,-6.64,76.08,93,100,3.76,overcast clouds
163,Alta Floresta,BR,-9.88,-56.09,72.16,94,100,3.83,light rain
164,Ludvika,SE,60.15,15.19,30.2,92,100,3.36,overcast clouds
165,Vao,NC,-22.67,167.48,73.92,86,4,16.58,clear sky
166,Qandala,SO,11.47,49.87,79.18,49,100,4.38,overcast clouds
167,Burnie,AU,-41.07,145.92,57.79,54,100,12.3,overcast clouds
168,Satipo,PE,-11.25,-74.64,75.25,64,94,2.08,overcast clouds
169,Scarborough,GB,54.28,-0.4,43.0,87,47,3.0,scattered clouds
170,Pashiya,RU,58.43,58.26,22.28,94,100,9.46,overcast clouds
171,Puerto Carreno,CO,6.19,-67.49,75.69,93,100,7.7,heavy intensity rain
172,Ahipara,NZ,-35.17,173.17,69.55,66,21,7.63,few clouds
173,Nanortalik,GL,60.14,-45.24,34.14,89,100,3.38,overcast clouds
